"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"e:\L2\Assignment\event\event_ora_frontend\src\app\(dashboard)\admin\users\page.tsx", "TypeScript JSX", 13, 0, 3, 16
"Total", "-", 13, 0, 3, 16
